Escuela;Ciencias de la Computación;;;;;;;;
Plan;Plan 2023;;;;;;;;
Ciclo;Tipo;Codigo;Nombre;HT;HP;HL;Creditos;Prerequisito;
1;E;INE001;PROCESO CULTURAL ANDINO;1;2;0;2.0;;
1;E;INE002;PROGRAMACIÓN Y COMPUTACIÓN;1;2;0;2.0;;
1;E;INE003;DIBUJO TÉCNICO;1;2;0;2.0;;
1;E;INE004;INGLÉS PARA ESCRITURA ACADÉMICA;1;2;0;2.0;;
1;E;INE005;MATLAB;1;2;0;2.0;;
1;E;INE006;CÁLCULOS BÁSICOS EN QUÍMICA;1;2;0;2.0;;
1;E;INE007;SEGURIDAD E HIGIENE EN LABORATORIO;1;2;0;2.0;;
1;E;INE008;FUNDAMENTOS DE RIESGOS DE DESASTRES Y CAMBIO CLIMÁTICO;1;2;0;2.0;;
1;E;INE009;GEOGRAFIA ECONÓMICA DEL PERÚ;1;2;0;2.0;;
1;E;INE010;CIUDADANÍA Y DERECHOS FUNDAMENTALES;1;2;0;2.0;;
1;E;INE011;TALLER DE ELECTRICIDAD Y ELECTRONICA;1;2;0;2.0;;
1;E;INE012;ECONOMIA GENERAL;1;2;0;2.0;;
1;E;INE013;EMPRENDIMIENTO E INNOVACIÓN;1;2;0;2.0;;
1;E;INE014;TALLER DE MÚSICA;1;2;0;2.0;;
1;E;INE015;TALLER DE DANZA;1;2;0;2.0;;
1;E;INE016;APRECIACIÓN DE CINE;1;2;0;2.0;;
1;E;INE017;QUECHUA;1;2;0;2.0;;
1;O;INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;2;2;0;3.0;;
1;O;INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;1;2;0;2.0;;
1;O;INO103;DESARROLLO PERSONAL Y LIDERAZGO;1;2;0;2.0;;
1;O;INO104;CÁLCULO I;2;4;0;4.0;;
1;O;INO105;BIOLOGÍA PARA CIENCIAS E INGENIERÍA;2;4;0;4.0;;
1;O;INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;2;4;0;4.0;;
1;O;INO107;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;2;0;3.0;;
2;O;INO201;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II;2;2;0;3.0;INO101;
2;O;INO202;INVESTIGACIÓN FORMATIVA;2;2;0;3.0;;
2;O;INO203;REALIDAD NACIONAL Y MUNDIAL;2;0;0;2.0;;
2;O;INO204;CÁLCULO II;2;4;0;4.0;INO104;
2;O;INO205;FÍSICA I;3;2;0;4.0;;
2;O;INO206;QUÍMICA GENERAL;3;2;0;4.0;;
2;O;INO207;INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA;1;2;0;2.0;;
3;O;203230301;INTRODUCCIÓN A LA CIENCIA DE LA COMPUTACIÓN;2;4;0;4.0;;
3;O;203230302;PROGRAMACIÓN DE COMPUTADORAS I;2;4;0;4.0;;
3;O;203230303;DESARROLLO BASADO EN PLATAFORMAS;2;2;0;3.0;;
3;O;203230304;ESTRUCTURAS DISCRETAS;2;4;0;4.0;INO106;
3;O;203230305;SERIES Y ECUACIONES DIFERENCIALES;2;2;0;3.0;INO204;
3;O;203230306;INGENIERÍA ECONÓMICA;2;2;0;3.0;INO204;
3;O;203230307;ÓPTICA Y ELECTROMAGNETISMO;2;2;0;3.0;INO205;
4;O;203230401;ALGORITMOS Y ESTRUCTURAS DE DATOS;2;4;0;4.0;203230302;
4;O;203230402;TEORÍA DE LA COMPUTACIÓN;2;4;0;4.0;203230304;
4;O;203230403;BASE DE DATOS I;2;2;0;3.0;203230302;
4;O;203230404;ARQUITECTURA DE COMPUTADORAS;2;2;0;3.0;203230307;
4;O;203230404;ARQUITECTURA DE COMPUTADORAS;2;2;0;3.0;203230301;
4;O;203230405;ESTADÍSTICA Y PROBABILIDADES;2;2;0;3.0;INO204;
4;O;203230406;ANÁLISIS NUMÉRICO;2;2;0;3.0;203230305;
5;O;203230501;ANÁLISIS Y DISEÑO DE ALGORITMOS;2;4;0;4.0;203230401;
5;O;203230502;BASE DE DATOS II;2;2;0;3.0;203230403;
5;O;203230503;INGENIERÍA DE SOFTWARE I;2;2;0;3.0;203230303;
5;O;203230504;SISTEMAS OPERATIVOS;3;2;0;4.0;203230404;
5;O;203230505;PROGRAMACIÓN DE COMPUTADORAS II;2;6;0;4.0;203230302;
5;O;203230506;INVESTIGACIÓN OPERATIVA;3;2;0;4.0;203230405;
5;O;203C0506;INVESTIGACIÓN OPERATIVA;3;2;0;4.0;203230405;
6;O;203230601;INGENIERÍA DE SOFTWARE II;2;4;0;4.0;203230503;
6;O;203230602;REDES Y COMUNICACIONES;2;2;0;3.0;203230504;
6;O;203230603;ESTRUCTURA DE DATOS AVANZADO;2;2;0;3.0;203230501;
6;O;203230603;ESTRUCTURA DE DATOS AVANZADO;2;2;0;3.0;203230502;
6;O;203230604;TÓPICOS DE SISTEMAS OPERATIVOS AVANZADOS;1;4;0;3.0;203230504;
6;O;203230605;LENGUAJES Y COMPILADORES I;2;4;0;4.0;203230505;
6;O;203230605;LENGUAJES Y COMPILADORES I;2;4;0;4.0;203230304;
6;O;203230606;MODELOS Y SIMULACIÓN;2;2;0;3.0;203C0506;
6;O;203230607;PROCESOS ESTOCÁSTICOS;2;2;0;3.0;203230405;
7;O;203230701;INTERACCIÓN HUMANO COMPUTADOR;2;4;0;4.0;203230604;
7;O;203230702;LENGUAJES Y COMPILADORES II;2;2;0;3.0;203230605;
7;O;203230703;COMPUTACIÓN PARALELA Y DISTRIBUIDA;2;2;0;3.0;203230602;
7;O;203230704;COMPUTACIÓN GRÁFICA;2;4;0;4.0;203230603;
7;O;203230704;COMPUTACIÓN GRÁFICA;2;4;0;4.0;203230406;
7;O;203230705;HEURÍSTICAS Y META HEURÍSTICAS;2;4;0;4.0;203230607;
7;O;203230706;INVESTIGACIÓN E INNOVACIÓN;2;2;0;3.0;203230606;
8;O;203230801;SEGURIDAD EN COMPUTACIÓN;2;2;0;3.0;203230703;
8;O;203230802;TÓPICOS EN CIENCIA DE DATOS;2;4;0;4.0;203230502;
8;O;203230802;TÓPICOS EN CIENCIA DE DATOS;2;4;0;4.0;203230607;
8;O;203230803;INTELIGENCIA ARTIFICIAL;2;4;0;4.0;203230705;
8;O;203230804;ARTE Y TECNOLOGÍA;1;2;0;2.0;203230701;
8;O;203230805;PROYECTO FINAL DE CARRERA I;2;4;0;4.0;203230706;
8;O;203230806;COMPUTACIÓN VERDE;2;0;0;2.0;203230706;
9;O;203230901;TÓPICOS EN INTELIGENCIA ARTIFICIAL;2;4;0;4.0;203230803;
9;O;203230902;PRACTICA PREPROFESIONAL I;0;20;0;10.0;203230803;
9;O;203230902;PRACTICA PREPROFESIONAL I;0;20;0;10.0;203230802;
9;O;203230903;TÓPICOS EN COMPUTACIÓN GRAFICA;2;4;0;4.0;203230804;
9;O;203230904;PROYECTO FINAL DE CARRERA II;2;4;0;4.0;203230805;
10;O;203231001;PRACTICA PREPROFESIONAL II;0;20;0;10.0;203230902;
10;O;203231002;TECNOLOGÍA BASADA EN INTERNET;2;4;0;4.0;203230805;
10;O;203231003;BIOINFORMÁTICA Y BIOESTADÍSTICA;2;4;0;4.0;203230802;
10;O;203231004;PROYECTO FINAL DE CARRERA III;2;4;0;4.0;203230802;
